gene_id	gene_name	description	biotype	9999	logCPM	LR	PValue	0
ENSG00000168273	SMIM4	small integral membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:37257]	protein_coding	9999	 2.925827	4.230e+00	 3.972e-02	0
ENSG00000269947	RP11-849F2.9		lincRNA	9999	-1.537871	4.226e+00	 3.982e-02	0
ENSG00000152527	PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2 [Source:HGNC Symbol;Acc:HGNC:30506]	protein_coding	-9999	 3.591696	4.223e+00	 3.988e-02	0
ENSG00000178567	EPM2AIP1	EPM2A (laforin) interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	protein_coding	9999	 5.718081	4.220e+00	 3.994e-02	0
ENSG00000120686	UFM1	ubiquitin-fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	protein_coding	-9999	 5.603533	4.218e+00	 3.999e-02	0
ENSG00000100889	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:HGNC Symbol;Acc:HGNC:8725]	protein_coding	-9999	 4.124675	4.215e+00	 4.006e-02	0
ENSG00000110074	FOXRED1	FAD-dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]	protein_coding	9999	 4.758237	4.211e+00	 4.016e-02	0
ENSG00000260924	LINC01311	long intergenic non-protein coding RNA 1311 [Source:HGNC Symbol;Acc:HGNC:50503]	antisense	-9999	-0.239789	4.210e+00	 4.017e-02	0
ENSG00000010626	LRRC23	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]	protein_coding	9999	 2.789761	4.199e+00	 4.044e-02	0
ENSG00000166275	C10orf32	chromosome 10 open reading frame 32 [Source:HGNC Symbol;Acc:HGNC:23516]	protein_coding	9999	 3.405622	4.199e+00	 4.044e-02	0
ENSG00000166024	R3HCC1L	R3H domain and coiled-coil containing 1-like [Source:HGNC Symbol;Acc:HGNC:23512]	protein_coding	-9999	 3.581245	4.199e+00	 4.046e-02	0
ENSG00000243646	IL10RB	interleukin 10 receptor, beta [Source:HGNC Symbol;Acc:HGNC:5965]	protein_coding	9999	 4.756515	4.197e+00	 4.050e-02	0
ENSG00000104450	SPAG1	sperm associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:11212]	protein_coding	9999	 1.731635	4.188e+00	 4.072e-02	0
ENSG00000225880	LINC00115	long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]	lincRNA	-9999	 0.260473	4.186e+00	 4.076e-02	0
ENSG00000151923	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1 [Source:HGNC Symbol;Acc:HGNC:11804]	protein_coding	-9999	 6.217732	4.181e+00	 4.088e-02	0
ENSG00000158435	CNOT11	CCR4-NOT transcription complex, subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217]	protein_coding	-9999	 4.887532	4.178e+00	 4.095e-02	0
ENSG00000156531	PHF6	PHD finger protein 6 [Source:HGNC Symbol;Acc:HGNC:18145]	protein_coding	9999	 4.833963	4.176e+00	 4.100e-02	0
ENSG00000108592	FTSJ3	FtsJ homolog 3 (E. coli) [Source:HGNC Symbol;Acc:HGNC:17136]	protein_coding	9999	 6.150263	4.176e+00	 4.101e-02	0
ENSG00000146733	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	protein_coding	9999	 4.301022	4.169e+00	 4.117e-02	0
ENSG00000271147	RP4-769N13.6		processed_transcript	-9999	 1.021732	4.167e+00	 4.122e-02	0
ENSG00000265727	RN7SL648P	RNA, 7SL, cytoplasmic 648, pseudogene [Source:HGNC Symbol;Acc:HGNC:46664]	misc_RNA	-9999	-1.181769	4.165e+00	 4.127e-02	0
ENSG00000204371	EHMT2	euchromatic histone-lysine N-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	protein_coding	-9999	 6.083972	4.161e+00	 4.136e-02	0
ENSG00000260859	RP11-254F19.2		sense_intronic	-9999	-1.072481	4.160e+00	 4.139e-02	0
ENSG00000109680	TBC1D19	TBC1 domain family, member 19 [Source:HGNC Symbol;Acc:HGNC:25624]	protein_coding	-9999	 2.891616	4.159e+00	 4.142e-02	0
ENSG00000178904	DPY19L3	dpy-19-like 3 (C. elegans) [Source:HGNC Symbol;Acc:HGNC:27120]	protein_coding	-9999	 6.067509	4.156e+00	 4.149e-02	0
ENSG00000170265	ZNF282	zinc finger protein 282 [Source:HGNC Symbol;Acc:HGNC:13076]	protein_coding	9999	 5.397633	4.153e+00	 4.156e-02	0
ENSG00000142920	AZIN2	antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]	protein_coding	-9999	 2.992560	4.151e+00	 4.162e-02	0
ENSG00000185127	C6orf120	chromosome 6 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:21247]	protein_coding	9999	 5.807408	4.149e+00	 4.166e-02	0
ENSG00000275458	MIR6809	microRNA 6809 [Source:HGNC Symbol;Acc:HGNC:49926]	miRNA	-9999	-3.035410	4.140e+00	 4.188e-02	0
ENSG00000166575	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	protein_coding	9999	 5.093386	4.140e+00	 4.188e-02	0
ENSG00000115904	SOS1	son of sevenless homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11187]	protein_coding	-9999	 5.784628	4.139e+00	 4.191e-02	0
ENSG00000274943	RP11-351C21.2		sense_intronic	-9999	-2.182902	4.138e+00	 4.192e-02	0
ENSG00000173275	ZNF449	zinc finger protein 449 [Source:HGNC Symbol;Acc:HGNC:21039]	protein_coding	9999	 4.073756	4.138e+00	 4.193e-02	0
ENSG00000182796	TMEM198B	transmembrane protein 198B, pseudogene [Source:HGNC Symbol;Acc:HGNC:43629]	unitary_pseudogene	-9999	 5.634615	4.132e+00	 4.209e-02	0
ENSG00000156471	PTDSS1	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]	protein_coding	9999	 5.777702	4.130e+00	 4.213e-02	0
ENSG00000142507	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6 [Source:HGNC Symbol;Acc:HGNC:9543]	protein_coding	9999	 6.142973	4.128e+00	 4.218e-02	0
ENSG00000114107	CEP70	centrosomal protein 70kDa [Source:HGNC Symbol;Acc:HGNC:29972]	protein_coding	9999	 3.548316	4.127e+00	 4.220e-02	0
ENSG00000172432	GTPBP2	GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4670]	protein_coding	-9999	 5.753311	4.127e+00	 4.221e-02	0
ENSG00000170037	CNTROB	centrobin, centrosomal BRCA2 interacting protein [Source:HGNC Symbol;Acc:HGNC:29616]	protein_coding	-9999	 5.376407	4.126e+00	 4.222e-02	0
ENSG00000181035	SLC25A42	solute carrier family 25, member 42 [Source:HGNC Symbol;Acc:HGNC:28380]	protein_coding	-9999	 3.626893	4.121e+00	 4.235e-02	0
ENSG00000202078	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA	-9999	-0.997559	4.115e+00	 4.249e-02	0
ENSG00000146950	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	protein_coding	-9999	 3.169328	4.114e+00	 4.253e-02	0
ENSG00000145337	PYURF	PIGY upstream reading frame [Source:HGNC Symbol;Acc:HGNC:44317]	protein_coding	9999	 5.363926	4.112e+00	 4.257e-02	0
ENSG00000119522	DENND1A	DENN/MADD domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29324]	protein_coding	-9999	 4.448754	4.105e+00	 4.275e-02	0
ENSG00000166788	SAAL1	serum amyloid A-like 1 [Source:HGNC Symbol;Acc:HGNC:25158]	protein_coding	9999	 3.224898	4.105e+00	 4.276e-02	0
ENSG00000107651	SEC23IP	SEC23 interacting protein [Source:HGNC Symbol;Acc:HGNC:17018]	protein_coding	-9999	 5.968574	4.097e+00	 4.295e-02	0
ENSG00000232546	RP11-458F8.1		unprocessed_pseudogene	-9999	-0.554578	4.093e+00	 4.306e-02	0
ENSG00000157741	UBN2	ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]	protein_coding	9999	 5.331637	4.093e+00	 4.307e-02	0
ENSG00000111832	RWDD1	RWD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20993]	protein_coding	-9999	 5.080812	4.091e+00	 4.311e-02	0
ENSG00000168653	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7712]	protein_coding	9999	 6.375805	4.085e+00	 4.327e-02	0
ENSG00000254004	ZNF260	zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]	protein_coding	-9999	 4.076584	4.079e+00	 4.343e-02	0
ENSG00000136450	SRSF1	serine/arginine-rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	protein_coding	9999	 7.184915	4.077e+00	 4.348e-02	0
ENSG00000188529	SRSF10	serine/arginine-rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]	protein_coding	9999	 6.470614	4.075e+00	 4.352e-02	0
ENSG00000011114	BTBD7	BTB (POZ) domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	protein_coding	-9999	 5.760180	4.074e+00	 4.354e-02	0
ENSG00000070950	RAD18	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	protein_coding	-9999	 2.919155	4.073e+00	 4.357e-02	0
ENSG00000175376	EIF1AD	eukaryotic translation initiation factor 1A domain containing [Source:HGNC Symbol;Acc:HGNC:28147]	protein_coding	-9999	 4.102323	4.073e+00	 4.358e-02	0
ENSG00000147654	EBAG9	estrogen receptor binding site associated, antigen, 9 [Source:HGNC Symbol;Acc:HGNC:3123]	protein_coding	-9999	 2.805557	4.068e+00	 4.371e-02	0
ENSG00000175137	SH3BP5L	SH3-binding domain protein 5-like [Source:HGNC Symbol;Acc:HGNC:29360]	protein_coding	-9999	 5.691904	4.064e+00	 4.380e-02	0
ENSG00000187601	MAGEH1	melanoma antigen family H, 1 [Source:HGNC Symbol;Acc:HGNC:24092]	protein_coding	-9999	 4.186022	4.060e+00	 4.392e-02	0
ENSG00000132155	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	protein_coding	9999	 6.355631	4.060e+00	 4.392e-02	0
ENSG00000174744	BRMS1	breast cancer metastasis suppressor 1 [Source:HGNC Symbol;Acc:HGNC:17262]	protein_coding	9999	 5.112760	4.059e+00	 4.395e-02	0
ENSG00000135040	NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:24340]	protein_coding	-9999	 4.251865	4.058e+00	 4.396e-02	0
ENSG00000145901	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	protein_coding	9999	 6.303673	4.055e+00	 4.405e-02	0
ENSG00000222489	SNORA79	Small nucleolar RNA SNORA79 [Source:RFAM;Acc:RF00600]	snoRNA	9999	-2.986494	4.053e+00	 4.410e-02	0
ENSG00000154447	SH3RF1	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	protein_coding	9999	 5.084147	4.049e+00	 4.419e-02	0
ENSG00000276629	AL160165.1		miRNA	-9999	-3.034471	4.040e+00	 4.442e-02	0
ENSG00000168874	ATOH8	atonal homolog 8 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:24126]	protein_coding	-9999	 5.174249	4.040e+00	 4.443e-02	0
ENSG00000075618	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	protein_coding	9999	 8.566724	4.035e+00	 4.458e-02	0
ENSG00000166704	ZNF606	zinc finger protein 606 [Source:HGNC Symbol;Acc:HGNC:25879]	protein_coding	9999	 3.638628	4.033e+00	 4.462e-02	0
ENSG00000149091	DGKZ	diacylglycerol kinase, zeta [Source:HGNC Symbol;Acc:HGNC:2857]	protein_coding	9999	 5.919402	4.032e+00	 4.464e-02	0
ENSG00000171365	CLCN5	chloride channel, voltage-sensitive 5 [Source:HGNC Symbol;Acc:HGNC:2023]	protein_coding	9999	 4.733623	4.032e+00	 4.464e-02	0
ENSG00000133121	STARD13	StAR-related lipid transfer (START) domain containing 13 [Source:HGNC Symbol;Acc:HGNC:19164]	protein_coding	-9999	 5.524347	4.031e+00	 4.467e-02	0
ENSG00000270696	RP11-342K6.1		antisense	-9999	 2.377385	4.028e+00	 4.476e-02	0
ENSG00000137055	PLAA	phospholipase A2-activating protein [Source:HGNC Symbol;Acc:HGNC:9043]	protein_coding	9999	 5.169917	4.022e+00	 4.491e-02	0
ENSG00000003509	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	protein_coding	-9999	 3.687713	4.021e+00	 4.494e-02	0
ENSG00000279041	CTD-2373N4.3		TEC	-9999	 2.377061	4.019e+00	 4.498e-02	0
ENSG00000112167	SAYSD1	SAYSVFN motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21025]	protein_coding	9999	 3.273515	4.019e+00	 4.500e-02	0
ENSG00000075303	SLC25A40	solute carrier family 25, member 40 [Source:HGNC Symbol;Acc:HGNC:29680]	protein_coding	-9999	 3.613138	4.006e+00	 4.533e-02	0
ENSG00000103199	ZNF500	zinc finger protein 500 [Source:HGNC Symbol;Acc:HGNC:23716]	protein_coding	-9999	 4.044908	4.006e+00	 4.534e-02	0
ENSG00000244723	ASLP1	argininosuccinate lyase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:747]	unprocessed_pseudogene	-9999	-0.316570	4.003e+00	 4.543e-02	0
ENSG00000267547	RP11-686D22.4		lincRNA	-9999	-0.808663	4.002e+00	 4.545e-02	0
ENSG00000144214	LYG1	lysozyme G-like 1 [Source:HGNC Symbol;Acc:HGNC:27014]	protein_coding	-9999	 0.153735	3.998e+00	 4.555e-02	0
ENSG00000174243	DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 [Source:HGNC Symbol;Acc:HGNC:17347]	protein_coding	-9999	 6.111886	3.997e+00	 4.558e-02	0
ENSG00000275479	RP11-334C17.6		lincRNA	9999	-2.267648	3.990e+00	 4.577e-02	0
ENSG00000183765	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	protein_coding	-9999	 2.926535	3.988e+00	 4.583e-02	0
ENSG00000123892	RAB38	RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]	protein_coding	9999	 0.354037	3.984e+00	 4.593e-02	0
ENSG00000134375	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast) [Source:HGNC Symbol;Acc:HGNC:17315]	protein_coding	9999	 5.481320	3.975e+00	 4.617e-02	0
ENSG00000161904	LEMD2	LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21244]	protein_coding	9999	 6.117859	3.974e+00	 4.620e-02	0
ENSG00000258900	HNRNPCP1	heterogeneous nuclear ribonucleoprotein C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20017]	processed_pseudogene	9999	-0.733558	3.972e+00	 4.626e-02	0
ENSG00000087095	NLK	nemo-like kinase [Source:HGNC Symbol;Acc:HGNC:29858]	protein_coding	9999	 3.786149	3.971e+00	 4.630e-02	0
ENSG00000239884	RN7SL608P	RNA, 7SL, cytoplasmic 608, pseudogene [Source:HGNC Symbol;Acc:HGNC:46624]	misc_RNA	9999	-1.675083	3.965e+00	 4.645e-02	0
ENSG00000183530	PRR14L	proline rich 14-like [Source:HGNC Symbol;Acc:HGNC:28738]	protein_coding	9999	 5.627404	3.964e+00	 4.648e-02	0
ENSG00000100353	EIF3D	eukaryotic translation initiation factor 3, subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	protein_coding	9999	 7.062580	3.962e+00	 4.654e-02	0
ENSG00000207697	MIR573	microRNA 573 [Source:HGNC Symbol;Acc:HGNC:32829]	miRNA	-9999	-2.903195	3.957e+00	 4.668e-02	0
ENSG00000198169	ZNF251	zinc finger protein 251 [Source:HGNC Symbol;Acc:HGNC:13045]	protein_coding	9999	 4.377986	3.956e+00	 4.670e-02	0
ENSG00000247271	ZBED5-AS1	ZBED5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48646]	antisense	9999	 2.795543	3.956e+00	 4.670e-02	0
ENSG00000183814	LIN9	lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]	protein_coding	-9999	 0.948289	3.956e+00	 4.671e-02	0
ENSG00000112282	MED23	mediator complex subunit 23 [Source:HGNC Symbol;Acc:HGNC:2372]	protein_coding	-9999	 5.354714	3.952e+00	 4.681e-02	0
ENSG00000163481	RNF25	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	protein_coding	9999	 4.087017	3.948e+00	 4.692e-02	0
ENSG00000123131	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	protein_coding	9999	 5.802761	3.946e+00	 4.697e-02	0
ENSG00000008118	CAMK1G	calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]	protein_coding	9999	 2.121908	3.944e+00	 4.703e-02	0
ENSG00000189043	NDUFA4	NDUFA4, mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	protein_coding	9999	 6.358703	3.941e+00	 4.713e-02	0
ENSG00000162551	ALPL	alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:HGNC:438]	protein_coding	-9999	 0.207643	3.938e+00	 4.721e-02	0
ENSG00000197714	ZNF460	zinc finger protein 460 [Source:HGNC Symbol;Acc:HGNC:21628]	protein_coding	-9999	 2.020492	3.937e+00	 4.722e-02	0
ENSG00000111666	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	protein_coding	9999	 4.410797	3.937e+00	 4.723e-02	0
ENSG00000234608	MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:24091]	lincRNA	-9999	 2.879455	3.937e+00	 4.725e-02	0
ENSG00000166913	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta [Source:HGNC Symbol;Acc:HGNC:12849]	protein_coding	9999	 7.938718	3.932e+00	 4.738e-02	0
ENSG00000197037	ZSCAN25	zinc finger and SCAN domain containing 25 [Source:HGNC Symbol;Acc:HGNC:21961]	protein_coding	9999	 3.971491	3.929e+00	 4.746e-02	0
ENSG00000165819	METTL3	methyltransferase like 3 [Source:HGNC Symbol;Acc:HGNC:17563]	protein_coding	9999	 5.099500	3.928e+00	 4.748e-02	0
ENSG00000263834	MIR4635	microRNA 4635 [Source:HGNC Symbol;Acc:HGNC:41748]	miRNA	-9999	-3.510103	3.927e+00	 4.752e-02	0
ENSG00000153250	RBMS1	RNA binding motif, single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	protein_coding	-9999	 7.131965	3.925e+00	 4.756e-02	0
ENSG00000198718	FAM179B	family with sequence similarity 179, member B [Source:HGNC Symbol;Acc:HGNC:19959]	protein_coding	-9999	 4.637269	3.920e+00	 4.773e-02	0
ENSG00000264175	MIR3189	microRNA 3189 [Source:HGNC Symbol;Acc:HGNC:38307]	miRNA	-9999	-3.512722	3.918e+00	 4.777e-02	0
ENSG00000138071	ACTR2	ARP2 actin-related protein 2 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:169]	protein_coding	9999	 8.243939	3.915e+00	 4.786e-02	0
ENSG00000202358	RNU6-652P	RNA, U6 small nuclear 652, pseudogene [Source:HGNC Symbol;Acc:HGNC:47615]	snRNA	9999	-2.539411	3.912e+00	 4.795e-02	0
ENSG00000100372	SLC25A17	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	protein_coding	9999	 3.734112	3.910e+00	 4.800e-02	0
ENSG00000236104	ZBTB22	zinc finger and BTB domain containing 22 [Source:HGNC Symbol;Acc:HGNC:13085]	protein_coding	9999	 4.761130	3.908e+00	 4.804e-02	0
ENSG00000163344	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	protein_coding	-9999	 4.461688	3.904e+00	 4.817e-02	0
ENSG00000131966	ACTR10	actin-related protein 10 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:17372]	protein_coding	-9999	 5.303966	3.897e+00	 4.837e-02	0
ENSG00000119138	KLF9	Kruppel-like factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]	protein_coding	-9999	 7.781810	3.897e+00	 4.838e-02	0
ENSG00000249637	CTC-329D1.2		antisense	9999	-1.431362	3.896e+00	 4.839e-02	0
ENSG00000230629	RPS23P8	ribosomal protein S23 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:35982]	processed_pseudogene	-9999	 0.100356	3.896e+00	 4.840e-02	0
ENSG00000250067	YJEFN3	YjeF N-terminal domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24785]	protein_coding	9999	 2.438858	3.892e+00	 4.851e-02	0
